network_id,fecha,hora,billed,provider,segments,segment_number,is_unicode,failed,excluded,reason,total_characters,message_type,alias_provider,cuenta
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,37,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,54,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,61,sms,ROBOCOM_SMS,6
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,63,sms,ROBOCOM_SMS,6
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,74,sms,ROBOCOM_SMS,6
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,83,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,84,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,87,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,88,sms,ROBOCOM_SMS,2
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,89,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,91,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,108,sms,ROBOCOM_SMS,4
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,137,sms,ROBOCOM_SMS,6
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,140,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,145,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,152,flash,ROBOCOM_SMS,2
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,152,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,153,sms,ROBOCOM_SMS,4
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,154,flash,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,154,sms,ROBOCOM_SMS,3
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,155,flash,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,155,sms,ROBOCOM_SMS,2
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,157,flash,ROBOCOM_SMS,2
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,159,flash,ROBOCOM_SMS,115
,2026-07-02,01,false,ROBOCOM-MOVISTAR,1,0,false,true,false,ESME_RSUBMITFAIL,159,sms,ROBOCOM_SMS,1
,2026-07-02,01,false,ROBOCOM-MOVISTAR,2,1,false,true,false,ESME_RSUBMITFAIL,153,sms,ROBOCOM_SMS,6
,2026-07-02,01,false,ROBOCOM-MOVISTAR,2,2,false,true,false,ESME_RSUBMITFAIL,37,sms,ROBOCOM_SMS,6
,2026-07-02,01,false,ROBOCOM-MOVISTAR,3,1,false,true,false,ESME_RSUBMITFAIL,68,sms,ROBOCOM_SMS,2
,2026-07-02,01,false,ROBOCOM-MOVISTAR,3,2,false,true,false,ESME_RSUBMITFAIL,67,sms,ROBOCOM_SMS,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,16,sms,rob2tel,63
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,22,sms,rob2tel,9
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,24,flash,rob2tel,6
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,37,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,38,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,56,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,60,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,62,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,63,sms,rob2tel,16
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,64,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,66,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,68,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,79,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,82,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,83,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,84,sms,rob2tel,8
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,85,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,86,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,87,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,88,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,89,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,90,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,91,sms,rob2tel,6
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,92,sms,rob2tel,4
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,93,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,94,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,95,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,99,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,100,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,106,flash,rob2tel,306
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,108,sms,rob2tel,9
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,109,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,119,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,120,sms,rob2tel,14
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,121,flash,rob2tel,89
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,125,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,132,flash,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,133,flash,rob2tel,49
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,135,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,137,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,140,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,141,sms,rob2tel,4812
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,142,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,143,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,144,flash,rob2tel,136
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,144,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,145,sms,rob2tel,11464
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,146,sms,rob2tel,613
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,147,flash,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,148,flash,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,148,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,149,flash,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,149,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,150,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,151,flash,rob2tel,385
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,151,sms,rob2tel,6970
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,152,flash,rob2tel,400
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,152,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,153,flash,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,153,sms,rob2tel,18
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,154,flash,rob2tel,7
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,154,sms,rob2tel,30
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,155,flash,rob2tel,70
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,155,sms,rob2tel,12
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,156,flash,rob2tel,43
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,156,sms,rob2tel,9
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,157,flash,rob2tel,32
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,157,sms,rob2tel,9
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,158,flash,rob2tel,9
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,159,flash,rob2tel,17
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,false,false,false,,160,flash,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,1,0,true,false,false,,70,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,2,1,false,false,false,,153,flash,rob2tel,133
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,2,1,false,false,false,,153,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,2,2,false,false,false,,8,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,2,2,false,false,false,,12,flash,rob2tel,148
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,1,false,false,false,,68,sms,rob2tel,7
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,2,false,false,false,,67,sms,rob2tel,10
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,3,false,false,false,,68,sms,rob2tel,6
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,3,false,false,false,,69,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,4,false,false,false,,46,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,4,false,false,false,,48,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,4,false,false,false,,54,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,4,false,false,false,,59,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,4,4,false,false,false,,63,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,1,false,false,false,,68,sms,rob2tel,13
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,2,false,false,false,,67,sms,rob2tel,10
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,3,false,false,false,,68,sms,rob2tel,15
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,4,false,false,false,,67,sms,rob2tel,8
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,4,false,false,false,,68,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,5,false,false,false,,3,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,5,false,false,false,,7,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,5,false,false,false,,15,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,5,false,false,false,,16,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,5,false,false,false,,22,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,5,false,false,false,,26,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_1,5,5,false,false,false,,32,sms,rob2tel,7
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,16,sms,rob2tel,82
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,17,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,20,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,22,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,23,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,24,flash,rob2tel,4
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,37,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,38,sms,rob2tel,5
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,62,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,63,sms,rob2tel,14
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,64,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,66,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,68,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,82,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,83,sms,rob2tel,5
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,84,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,85,sms,rob2tel,4
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,86,sms,rob2tel,5
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,87,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,88,sms,rob2tel,4
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,89,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,90,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,91,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,92,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,93,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,95,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,96,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,97,sms,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,106,flash,rob2tel,311
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,108,sms,rob2tel,9
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,119,sms,rob2tel,10
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,120,sms,rob2tel,10
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,121,flash,rob2tel,86
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,122,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,123,sms,rob2tel,4
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,131,flash,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,133,flash,rob2tel,42
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,134,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,135,flash,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,135,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,136,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,140,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,141,sms,rob2tel,4706
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,142,sms,rob2tel,3
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,144,flash,rob2tel,152
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,144,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,145,sms,rob2tel,11925
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,146,flash,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,146,sms,rob2tel,585
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,147,flash,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,149,flash,rob2tel,1
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,149,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,150,flash,rob2tel,5
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,150,sms,rob2tel,2
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,151,flash,rob2tel,370
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,151,sms,rob2tel,6981
,2026-07-02,01,true,GW_ROBOT_TELCEL_2,1,0,false,false,false,,152,flash,rob2tel,440
